Name,Version,Description,License,Size,Dependencies,Build Inputs,Source
install,,nix-mox installation script,MIT,109.7 MB,5,5,https://github.com/Hydepwns/nix-mox
uninstall,1.0.0,nix-mox uninstall package,MIT,0 B,0,0,https://github.com/Hydepwns/nix-mox
nixos-flake-update,,NixOS flake update utility,MIT,182.8 MB,6,6,https://github.com/Hydepwns/nix-mox
proxmox-update,,Proxmox update management script,MIT,109.7 MB,5,5,https://github.com/Hydepwns/nix-mox
vzdump-backup,,Proxmox vzdump backup utility,MIT,2.1 GB,11,11,https://github.com/Hydepwns/nix-mox
zfs-snapshot,,ZFS snapshot management script,MIT,2.1 GB,11,11,https://github.com/Hydepwns/nix-mox
install,1.0.0,nix-mox install package,MIT,0 B,0,0,https://github.com/Hydepwns/nix-mox
uninstall,1.0.0,nix-mox uninstall package,MIT,0 B,0,0,https://github.com/Hydepwns/nix-mox
nixos-flake-update,1.0.0,nix-mox nixos-flake-update package,MIT,0 B,0,0,https://github.com/Hydepwns/nix-mox
proxmox-update,1.0.0,nix-mox proxmox-update package,MIT,0 B,0,0,https://github.com/Hydepwns/nix-mox
vzdump-backup,1.0.0,nix-mox vzdump-backup package,MIT,0 B,0,0,https://github.com/Hydepwns/nix-mox
zfs-snapshot,1.0.0,nix-mox zfs-snapshot package,MIT,0 B,0,0,https://github.com/Hydepwns/nix-mox